202,predominate,have more power than others
203,foolproof,incapable of failure or error
204,suffice,be enough
205,permeate,spread into every part of
206,spear,weapon with a metal point on a long shaft
207,solvent,of the power of forming a solution
208,presentiment,anticipatory fear; premonition
209,vivacious,lively high-spirited
210,coagulation,change to a thick and solid state
211,liberality,free giving; generosity
212,elaborate,worked out with much care in great detail
213,brass,yellow metal (mixing copper and zinc)
214,malleable,yielding easily shaped; moldable; adapting
215,patron,regular customer person who gives support
216,immutable,that cannot be changed
217,forgery,counterfeit
218,woo,try to win
219,cordial,warm and sincere
220,cumbersome,burdensome; heavy and awkward to carry
221,beguile,mislead or delude; cheat; pass time
222,retrograde,receding
223,sheath,cover for the blade of a weapon or a tool
224,bewilder,puzzle; confuse
225,knit,draw together; unite firmly
226,unscathed,unharmed unhurt
227,chortle,loud chuckle of pleasure or amusement
228,jabber,talk excitedly; utter rapidly
229,pivotal,of great importance (others depend on it)
230,implosion,collapse; bursting inward
231,repel,refuse to accept/cause dislike
232,superimpose,put something on the top
233,centurion,leader of a unit of 100 soldiers
234,enigma,something that is puzzling
235,calipers,metal supports attached to the legs measuring instrument
236,redeem,get back by payment compensate
237,buoyant,able to float; light-hearted
238,impede,hinder; get in the way of
239,stride,walk with long steps
240,boisterous,noisy; restraint
241,resuscitation,coming back to consciousness
242,concur,agree in opinion happen together
243,recitals,a number of performance of music
244,treacherous,"not to be trusted, perfidious"
245,indulgent,inclined to indulge
246,pilferer,"to steal, especially in small quantities"
247,foster,nurture; care for
248,apartheid,brutal racial discrimination
249,garrulous,too talkative
250,edify,instruct; correct morally
251,evasive,tending to evade
252,misanthrope,person who hates mankind
253,eulogy,formal praise panegyric
254,arcane,known or understood by very few
255,bogus,sham; counterfeit; not genuine
256,dexterity,skill (esp. in handling)
257,lampoon,publicly mock or ridicule
258,skit,short piece of humorous writing
259,incongruous,out of place; not in harmony or agreement
260,repulsive,causing a feeling of disgust
261,refine,make or become pure cultural
